id;titre_cours;num_session;prealable1;prealable2;corequis1;corequis2;nb_credz;nb_credz_min;saison;placement
1;GCH3000I (0 cr.) Épreuves initiales de comm. Écrite et orale;1;;;;;0;;3;0
2;GCH3000A (0 cr.) Atelier communication écrite et orale;2;1;;;;0;;3;0
3;GCH1110 (3 cr.) Anal. Proc. Dévelo. Durable;1;;;;;3;;3;0
4;GCH1122 (3 cr.) Intro. Au génie chimique;1;;;3;;3;;3;0
5;GCH1511 (3 cr.) Thermodynamique;1;;;;;3;;3;0
6;MTH1105 (3 cr.) élém. Calcul pour le génie;1;;;;;3;;7;0
7;MTH1008 (3 cr.) Algèbre linéaire appliquée;2;;;;;3;;7;0
8;INF1005D (3 cr.) Programmation procédurale;2;;;;;3;;7;0
9;GCH1530 (3 cr.) Chimie organique;2;;;;;3;;1;0
10;GCH1220 (3 cr.) Conc. Env. et cycle de vie;2;;;;;3;;3;0
11;GCH1140 (3 cr.) Travail d'équipe et projet;2;4;;;;3;;3;0
12;MTH1115 (3 cr.) Équations différentielles;3;6;7;;;3;;7;0
13;GCH2120 (3 cr.) Dynamique des systèmes;3;4;8;12;;3;;2;0
14;GCH2525 (3 cr.) Thermodynamique chimique;3;3;5;;;3;;2;0
15;GCH3515 (3 cr.) Phénomène d'échange;4;12;13;;;3;;3;0
16;GCH2545 (3 cr.) Modélisation num. en ing.;5;15;;;;3;;7;0
17;GCH2550 (3 cr.) Projet de modélisation num.;4;13;11;;;3;;1;0
18;GCH3110 (3 cr.) Calcul des réacteurs chim.;5;14;;;;3;;6;0
19;GCH3520 (2 cr.) Projet de phénom. D'échanges;5;15;;;;2;;6;0
20;GCH3100A  (7 cr.) Opérations unitaires;6;15;18;21;;7;;3;0
21;GCH3100C (6 cr.) Projet opérations unitaires;6;17;18;20;22;6;;3;0
22;GCH3000  (1 cr.) Comm. Écrite et orale;6;;;21;20;1;;3;0
23;GCH8270 (2 cr.) Labo. Opérations unitaires;7;20;21;;;2;;3;0
24;GCH8271 (3 cr.) Conception et synthèse des procédés;7;20;21;23;;3;;3;0
25;GCH2565 (3 cr.) Méth. Expér., instrum. Et acquisition de données;4;;;12;;3;;1;0
26;GCH2205 (3 cr.) Bioprocédés;3;;;13;;3;;2;0
34;GCH3135 (3 cr.) Électrochim. & proc. Électroly.;5;3;;;;3;;6;0
28;ING8971/ GCH8272 (6 cr.) Projet dev. durable/ conc. Et anal. Impacts;8;24;;;;6;;3;0
29;MTR1035C (2 cr.) Matériaux;1;;;;;2;;7;0
30;MEC1315 (2 cr.) Techno. Informat. En ing.;3;8;;;;2;;3;0
31;PHS1101 (3 cr.) Mécanique pour ingénieurs;4;;;;;3;;7;0
32;MTH2302B (3 cr.) Probabilités et statistique;4;6;;;;3;;7;0
33;GCH3105 (3 cr.) Matériaux polymères;5;29;;;;3;;2;0
27;SSH3201 (3 cr.) Économique de l'ingénieur;7;;;;;3;27;3;0
35;SSH3501 (2 cr.) Éthique appl. À l'ingénierie;5;;;;;2;40;7;0
36;GCH8000/ GCH6000  (3 cr.) Cours 1 au choix;7;;;;;3;85;7;0
37;GCH8000/ GCH6000  (3 cr.) Cours 2 au choix;7;;;;;3;70;7;0
38;GCH8000/ GCH6000  (3 cr.) Cours 3 au choix;7;;;;;3;70;7;0
39;GCH8000/ GCH6000  (3 cr.) Cours 4 au choix;8;;;;;3;70;7;0
40;GCH8000/ GCH6000  (3 cr.) Cours 5 au choix;8;;;;;3;70;7;0
41;SSH3100 (3 cr.) Sociologie de la technologie ;8;;;;;3;30;7;0
